,dim_partner_partner_id,dim_partner_partner_name,franchise_name,mall,business_type_name,cuisine,Limite de Prep Time,city,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,avg_assumed_actual_prep_time,diff_estimacion,avg_at_vendor_time_cleaned,Orders,prep_time_mas_atvc,diff_limite_%,%_orders,partner_id,cambio_final_cateogry,CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
91,527429,el quinto elemento sandwichería,no franchise,0,Restaurant,sándwiches,18,Arica,0.07692307692,36.36%,0.08333333333,20.07692308,23.3,3.223076923,6.094444444,13,26.17136752,1.115384615,0.003022552895,527429,categoria_2,527429,MONDAY-SUNDAY,0-23,1,10,OPS_PERMANENT
22,139542,dunkin' metro pajaritos,dunkin donuts,0,Restaurant,cafetería,14,Santiago,0.3617021277,36.59%,0.1276595745,18.9787234,24.41711712,5.438393713,6.836585366,47,25.81530877,1.3556231,0.01092769123,139542,categoria_2,139542,MONDAY-SUNDAY,0-23,1,9,OPS_PERMANENT
44,319823,juicy lucy coquimbo,juicy lucy,0,Restaurant,hamburguesas,17,La serena,0.2105263158,37.50%,0.1578947368,13,22.395,9.395,7.710416667,19,20.71041667,0.7647058824,0.004417577308,319823,categoria_1,319823,MONDAY-SUNDAY,0-23,1,6,OPS_PERMANENT
66,473473,under pizza - teniente cruz,under pizzas,0,Restaurant,pizzas,30,Santiago,0.4285714286,40.58%,0.06756756757,23.5,24.17,0.67,9.086986301,84,32.5869863,0.7833333333,0.01953034178,473473,categoria_2,473473,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
52,378810,sushi san 730,no franchise,0,Restaurant,sushi,40,Chillan,0.9333333333,42.86%,0,46.86666667,50.50185185,3.635185185,9.471111111,15,56.33777778,1.171666667,0.003487561032,378810,categoria_1,378810,MONDAY-SUNDAY,0-23,1,23,OPS_PERMANENT
77,503710,under pizza - la cisterna,under pizzas,0,Restaurant,pizzas,30,Santiago,0.4742268041,47.44%,0.1875,22.03092784,27.77645503,5.745527191,10.61282051,97,32.64374835,0.7343642612,0.02255289468,503710,categoria_1,503710,MONDAY-SUNDAY,0-23,1,11,OPS_PERMANENT
10,87771,restaurante angaroa,no franchise,0,Restaurant,comida casera,19,Iquique,0.9166666667,50.00%,0.4545454545,43.41666667,48.59166667,5.175,10.87142857,12,54.28809524,2.285087719,0.002790048826,87771,categoria_2,87771,MONDAY-SUNDAY,0-23,1,22,OPS_PERMANENT
15,110477,d'cajon peruano,no franchise,0,Restaurant,comida peruana,21,Arica,0.5,50.00%,0,31.25,40.74166667,9.491666667,4.125,4,35.375,1.488095238,0.0009300162753,110477,categoria_2,110477,MONDAY-SUNDAY,0-23,1,16,OPS_PERMANENT
24,154820,doggis lider biobio,doggis,0,Restaurant,completos,20,Concepcion,0.75,50.00%,0,29.66666667,33.23095238,3.564285714,9.920833333,12,39.5875,1.483333333,0.002790048826,154820,categoria_2,154820,MONDAY-SUNDAY,0-23,1,15,OPS_PERMANENT
27,173008,starbucks coffee mall plaza bio bio,starbucks,1,Restaurant,cafetería,12,Concepcion,0.5,50.00%,0,23.5,23.76666667,0.2666666667,7.291666667,2,30.79166667,1.958333333,0.0004650081376,173008,categoria_2,173008,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
47,355488,sushi valle volcanes express,no franchise,0,Restaurant,sushi,40,Puerto montt,0.5384615385,52.17%,0.1153846154,21,23.67820513,2.678205128,12.97028986,26,33.97028986,0.525,0.006045105789,355488,categoria_1,355488,MONDAY-SUNDAY,0-23,1,10,OPS_PERMANENT
62,433426,pronto barra placilla,pronto copec,0,Restaurant,hamburguesas,18,Vina del mar,0.3846153846,52.38%,0.125,23.53846154,30.77058824,7.232126697,8.898484848,26,32.43694639,1.307692308,0.006045105789,433426,categoria_1,433426,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
85,523630,juan maestro - jumbo iquique,juan maestro,0,Restaurant,sándwiches,20,Iquique,0.9444444444,54.55%,0.3529411765,42.94444444,43.90833333,0.9638888889,11.72638889,18,54.67083333,2.147222222,0.004185073239,523630,categoria_1,523630,MONDAY-SUNDAY,0-23,1,21,OPS_PERMANENT
28,186729,casino de artesanos,no franchise,0,Restaurant,comida casera,19,Vina del mar,0.7052631579,56.63%,0.1075268817,26.70526316,32.85124378,6.145980623,9.73968254,95,36.4449457,1.405540166,0.02208788654,186729,categoria_2,186729,MONDAY-SUNDAY,0-23,1,13,OPS_PERMANENT
97,537338,dunkin' iquique cimenta,dunkin donuts,0,Restaurant,cafetería,14,Iquique,0.7391304348,57.14%,0.3333333333,22.34782609,24.7969697,2.44914361,9.961904762,23,32.30973085,1.596273292,0.005347593583,537338,categoria_1,537338,MONDAY-SUNDAY,0-23,1,11,OPS_PERMANENT
49,368623,just burger quilín,just burger,1,Restaurant,hamburguesas,13,Santiago,0.34,58.54%,0.1632653061,13.94,23.1046875,9.1646875,10.55039683,50,24.49039683,1.072307692,0.01162520344,368623,categoria_2,368623,MONDAY-SUNDAY,0-23,1,7,OPS_PERMANENT
65,454265,under pizza - patio la florida,under pizzas,0,Restaurant,pizzas,30,Santiago,0.6290322581,60.00%,0.09836065574,23.17741935,28.55625,5.378830645,14.35565476,62,37.53307412,0.7725806452,0.01441525227,454265,categoria_2,454265,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
4,53377,"pedro, juan y diego - plaza alameda","pedro, juan y diego",0,Restaurant,hamburguesas,15,Santiago,0.4285714286,66.67%,0.1428571429,16.14285714,22.31666667,6.173809524,10.84444444,7,26.98730159,1.076190476,0.001627528482,53377,categoria_2,53377,MONDAY-SUNDAY,0-23,1,8,OPS_PERMANENT
18,134427,doggis arica calle,doggis,0,Restaurant,completos,20,Arica,0.75,75.00%,0.2727272727,22.58333333,37.62222222,15.03888889,11.32592593,12,33.90925926,1.129166667,0.002790048826,134427,categoria_1,134427,MONDAY-SUNDAY,0-23,1,11,OPS_PERMANENT
75,499868,tommy beans - arica calle,tommy beans,0,Restaurant,comida mexicana,16,Arica,1,75.00%,0.2,38.4,41.80833333,3.408333333,14.52916667,5,52.92916667,2.4,0.001162520344,499868,categoria_1,499868,MONDAY-SUNDAY,0-23,1,19,OPS_PERMANENT
